 	estimate_no	2	resolution 398  size 54  median None  sharpen None  textcleaner None  nudge None  deskew None  threshold False  cuneiform False	../pdfs/KOCO-TV_14043097411984.pdf	569	271	510.12244898	631.06122449	0.391321577175	0.316455696203	estimate_no
HIETT 4 CORP COMMISS 	product	2	resolution 398  size 54  median None  sharpen None  textcleaner None  nudge None  deskew None  threshold False  cuneiform False	../pdfs/KOCO-TV_14043097411984.pdf	697	265	408.12244898	631.06122449	0.404761904762	0.235294117647	product
06104114 - 06/23/14 	flight_dates	2	resolution 398  size 54  median None  sharpen None  textcleaner None  nudge None  deskew None  threshold False  cuneiform False	../pdfs/KOCO-TV_14043097411984.pdf	608	271	379.12244898	602.06122449	0.398886827458	0.290697674419	flight_dates
 	product_code	2	resolution 398  size 54  median None  sharpen None  textcleaner None  nudge None  deskew None  threshold False  cuneiform False	../pdfs/KOCO-TV_14043097411984.pdf	470	265	529.12244898	515.06122449	0.358823529412	0.393442622951	product_code
1196633 	order_no	2	resolution 398  size 54  median None  sharpen None  textcleaner None  nudge None  deskew None  threshold False  cuneiform False	../pdfs/KOCO-TV_14043097411984.pdf	481	271	466.12244898	601.06122449	0.369458128079	0.396825396825	order_no
Hiean/Corporation Commi: 	advertiser	2	resolution 398  size 54  median None  sharpen None  textcleaner None  nudge None  deskew None  threshold False  cuneiform False	../pdfs/KOCO-TV_14043097411984.pdf	884	265	272.12244898	632.06122449	0.425	0.176470588235	advertiser
1196633-1 	invoice_no	2	resolution 398  size 54  median None  sharpen None  textcleaner None  nudge None  deskew None  threshold False  cuneiform False	../pdfs/KOCO-TV_14043097411984.pdf	564	271	302.12244898	699.06122449	0.390156062425	0.320512820513	invoice_no
105126114 - 06120114 	invoice_period	2	resolution 398  size 54  median None  sharpen None  textcleaner None  nudge None  deskew None  threshold False  cuneiform False	../pdfs/KOCO-TV_14043097411984.pdf	619	271	501.12244898	699.06122449	0.400874635569	0.284090909091	invoice_period
 	advertiser_code	2	resolution 398  size 54  median None  sharpen None  textcleaner None  nudge None  deskew None  threshold False  cuneiform False	../pdfs/KOCO-TV_14043097411984.pdf	475	265	467.12244898	515.06122449	0.360465116279	0.387096774194	advertiser_code
W7196822 	alt_order_no	2	resolution 398  size 54  median None  sharpen None  textcleaner None  nudge None  deskew None  threshold False  cuneiform False	../pdfs/KOCO-TV_14043097411984.pdf	470	271	528.12244898	602.06122449	0.366146458583	0.409836065574	alt_order_no
